PID,BIAS,RELATEDNESS,REPS,MS
1,dominant,related,long,1150
1,dominant,related,long,2143
1,dominant,related,long,2688
1,dominant,related,long,2736
1,dominant,related,long,3513
1,dominant,related,long,4033
1,dominant,related,long,
1,dominant,related,long,5008
1,dominant,related,long,5850
1,dominant,related,short,1476
1,dominant,related,short,1786
1,dominant,related,short,2356
1,dominant,related,short,2512
1,dominant,related,short,2947
1,dominant,related,short,4410
1,dominant,related,short,6549
1,dominant,related,short,
1,dominant,related,short,10188
1,dominant,unrelated,long,1819
1,dominant,unrelated,long,2016
1,dominant,unrelated,long,2257
1,dominant,unrelated,long,2989
1,dominant,unrelated,long,2992
1,dominant,unrelated,long,3352
1,dominant,unrelated,long,3592
1,dominant,unrelated,long,3991
1,dominant,unrelated,long,4528
1,dominant,unrelated,short,2181
1,dominant,unrelated,short,2233
1,dominant,unrelated,short,2282
1,dominant,unrelated,short,2420
1,dominant,unrelated,short,3348
1,dominant,unrelated,short,3476
1,dominant,unrelated,short,3508
1,dominant,unrelated,short,3538
1,dominant,unrelated,short,11419
1,filler,related,long,935
1,filler,related,long,1395
1,filler,related,long,1848
1,filler,related,long,2137
1,filler,related,long,
1,filler,related,long,3041
1,filler,related,long,3873
1,filler,related,long,4664
1,filler,related,long,4856
1,filler,related,long,5888
1,filler,related,long,
1,filler,related,long,
1,filler,related,long,
1,filler,related,long,
1,filler,related,long,
1,filler,related,short,1612
1,filler,related,short,2084
1,filler,related,short,2173
1,filler,related,short,2424
1,filler,related,short,2468
1,filler,related,short,2476
1,filler,related,short,2507
1,filler,related,short,2564
1,filler,related,short,2588
1,filler,related,short,
1,filler,related,short,2662
1,filler,related,short,
1,filler,related,short,3868
1,filler,related,short,4656
1,filler,related,short,
1,filler,unrelated,long,1779
1,filler,unrelated,long,1833
1,filler,unrelated,long,2524
1,filler,unrelated,long,2895
1,filler,unrelated,long,2914
1,filler,unrelated,long,3312
1,filler,unrelated,long,3951
1,filler,unrelated,long,3998
1,filler,unrelated,long,4321
1,filler,unrelated,long,4489
1,filler,unrelated,long,4573
1,filler,unrelated,long,5035
1,filler,unrelated,long,5560
1,filler,unrelated,long,5653
1,filler,unrelated,long,6701
1,filler,unrelated,short,992
1,filler,unrelated,short,1596
1,filler,unrelated,short,1948
1,filler,unrelated,short,2164
1,filler,unrelated,short,2420
1,filler,unrelated,short,2436
1,filler,unrelated,short,2509
1,filler,unrelated,short,3249
1,filler,unrelated,short,3444
1,filler,unrelated,short,3484
1,filler,unrelated,short,3804
1,filler,unrelated,short,3932
1,filler,unrelated,short,4374
1,filler,unrelated,short,4937
1,filler,unrelated,short,5357
1,subordinate,related,long,1508
1,subordinate,related,long,
1,subordinate,related,long,
1,subordinate,related,long,3667
1,subordinate,related,long,3809
1,subordinate,related,long,
1,subordinate,related,long,4327
1,subordinate,related,long,
1,subordinate,related,long,10065
1,subordinate,related,short,1761
1,subordinate,related,short,1909
1,subordinate,related,short,3580
1,subordinate,related,short,4669
1,subordinate,related,short,4924
1,subordinate,related,short,
1,subordinate,related,short,5068
1,subordinate,related,short,
1,subordinate,related,short,9173
1,subordinate,unrelated,long,2330
1,subordinate,unrelated,long,2387
1,subordinate,unrelated,long,2401
1,subordinate,unrelated,long,3191
1,subordinate,unrelated,long,3361
1,subordinate,unrelated,long,3664
1,subordinate,unrelated,long,3827
1,subordinate,unrelated,long,4736
1,subordinate,unrelated,long,4776
1,subordinate,unrelated,short,1453
1,subordinate,unrelated,short,2589
1,subordinate,unrelated,short,2722
1,subordinate,unrelated,short,2804
1,subordinate,unrelated,short,3204
1,subordinate,unrelated,short,3248
1,subordinate,unrelated,short,3533
1,subordinate,unrelated,short,4309
1,subordinate,unrelated,short,4805
2,dominant,related,long,922
2,dominant,related,long,983
2,dominant,related,long,1001
2,dominant,related,long,1168
2,dominant,related,long,1329
2,dominant,related,long,1505
2,dominant,related,long,1609
2,dominant,related,long,1933
2,dominant,related,long,3482
2,dominant,related,short,572
2,dominant,related,short,676
2,dominant,related,short,748
2,dominant,related,short,802
2,dominant,related,short,886
2,dominant,related,short,1084
2,dominant,related,short,1398
2,dominant,related,short,1644
2,dominant,related,short,1869
2,dominant,unrelated,long,1369
2,dominant,unrelated,long,1400
2,dominant,unrelated,long,1566
2,dominant,unrelated,long,1608
2,dominant,unrelated,long,1625
2,dominant,unrelated,long,1778
2,dominant,unrelated,long,2225
2,dominant,unrelated,long,2274
2,dominant,unrelated,long,9592
2,dominant,unrelated,short,837
2,dominant,unrelated,short,1044
2,dominant,unrelated,short,1643
2,dominant,unrelated,short,1805
2,dominant,unrelated,short,1854
2,dominant,unrelated,short,
2,dominant,unrelated,short,1948
2,dominant,unrelated,short,1964
2,dominant,unrelated,short,2244
2,filler,related,long,635
2,filler,related,long,638
2,filler,related,long,793
2,filler,related,long,847
2,filler,related,long,886
2,filler,related,long,905
2,filler,related,long,1119
2,filler,related,long,1183
2,filler,related,long,1330
2,filler,related,long,1426
2,filler,related,long,1441
2,filler,related,long,1566
2,filler,related,long,1676
2,filler,related,long,1751
2,filler,related,long,1855
2,filler,related,short,660
2,filler,related,short,692
2,filler,related,short,731
2,filler,related,short,798
2,filler,related,short,
2,filler,related,short,980
2,filler,related,short,1165
2,filler,related,short,1213
2,filler,related,short,1219
2,filler,related,short,1220
2,filler,related,short,1532
2,filler,related,short,1611
2,filler,related,short,1781
2,filler,related,short,1909
2,filler,related,short,2039
2,filler,unrelated,long,1099
2,filler,unrelated,long,1206
2,filler,unrelated,long,1359
2,filler,unrelated,long,
2,filler,unrelated,long,1571
2,filler,unrelated,long,1593
2,filler,unrelated,long,1633
2,filler,unrelated,long,1657
2,filler,unrelated,long,1705
2,filler,unrelated,long,
2,filler,unrelated,long,1806
2,filler,unrelated,long,1863
2,filler,unrelated,long,
2,filler,unrelated,long,2015
2,filler,unrelated,long,2192
2,filler,unrelated,short,930
2,filler,unrelated,short,949
2,filler,unrelated,short,
2,filler,unrelated,short,1100
2,filler,unrelated,short,1140
2,filler,unrelated,short,1299
2,filler,unrelated,short,1391
2,filler,unrelated,short,1493
2,filler,unrelated,short,1494
2,filler,unrelated,short,1589
2,filler,unrelated,short,1596
2,filler,unrelated,short,1861
2,filler,unrelated,short,1973
2,filler,unrelated,short,2548
2,filler,unrelated,short,2885
2,subordinate,related,long,1265
2,subordinate,related,long,1289
2,subordinate,related,long,1481
2,subordinate,related,long,1724
2,subordinate,related,long,
2,subordinate,related,long,2001
2,subordinate,related,long,2257
2,subordinate,related,long,2288
2,subordinate,related,long,3049
2,subordinate,related,short,
2,subordinate,related,short,
2,subordinate,related,short,
2,subordinate,related,short,1373
2,subordinate,related,short,1412
2,subordinate,related,short,
2,subordinate,related,short,1477
2,subordinate,related,short,1652
2,subordinate,related,short,2421
2,subordinate,unrelated,long,1023
2,subordinate,unrelated,long,1168
2,subordinate,unrelated,long,1409
2,subordinate,unrelated,long,1537
2,subordinate,unrelated,long,1602
2,subordinate,unrelated,long,1647
2,subordinate,unrelated,long,1872
2,subordinate,unrelated,long,2198
2,subordinate,unrelated,long,2355
2,subordinate,unrelated,short,1227
2,subordinate,unrelated,short,
2,subordinate,unrelated,short,1516
2,subordinate,unrelated,short,1597
2,subordinate,unrelated,short,1814
2,subordinate,unrelated,short,1820
2,subordinate,unrelated,short,1923
2,subordinate,unrelated,short,2420
2,subordinate,unrelated,short,3086
3,dominant,related,long,1033
3,dominant,related,long,1567
3,dominant,related,long,1592
3,dominant,related,long,1687
3,dominant,related,long,1710
3,dominant,related,long,1760
3,dominant,related,long,1784
3,dominant,related,long,2806
3,dominant,related,long,7520
3,dominant,related,short,970
3,dominant,related,short,1260
3,dominant,related,short,1267
3,dominant,related,short,1297
3,dominant,related,short,1469
3,dominant,related,short,1524
3,dominant,related,short,1627
3,dominant,related,short,1756
3,dominant,related,short,1819
3,dominant,unrelated,long,1783
3,dominant,unrelated,long,2028
3,dominant,unrelated,long,2168
3,dominant,unrelated,long,2215
3,dominant,unrelated,long,2431
3,dominant,unrelated,long,2839
3,dominant,unrelated,long,2889
3,dominant,unrelated,long,2951
3,dominant,unrelated,long,3142
3,dominant,unrelated,short,1804
3,dominant,unrelated,short,1891
3,dominant,unrelated,short,2188
3,dominant,unrelated,short,2318
3,dominant,unrelated,short,2492
3,dominant,unrelated,short,2707
3,dominant,unrelated,short,2963
3,dominant,unrelated,short,3731
3,dominant,unrelated,short,5891
3,filler,related,long,1523
3,filler,related,long,1586
3,filler,related,long,1758
3,filler,related,long,1777
3,filler,related,long,1901
3,filler,related,long,2007
3,filler,related,long,2167
3,filler,related,long,2172
3,filler,related,long,2193
3,filler,related,long,2296
3,filler,related,long,2310
3,filler,related,long,2674
3,filler,related,long,2806
3,filler,related,long,3119
3,filler,related,long,5204
3,filler,related,short,1115
3,filler,related,short,1243
3,filler,related,short,1316
3,filler,related,short,1329
3,filler,related,short,1371
3,filler,related,short,1386
3,filler,related,short,1435
3,filler,related,short,1458
3,filler,related,short,1593
3,filler,related,short,1603
3,filler,related,short,
3,filler,related,short,2122
3,filler,related,short,2524
3,filler,related,short,2829
3,filler,related,short,3723
3,filler,unrelated,long,1551
3,filler,unrelated,long,1655
3,filler,unrelated,long,1904
3,filler,unrelated,long,2118
3,filler,unrelated,long,2134
3,filler,unrelated,long,2136
3,filler,unrelated,long,2207
3,filler,unrelated,long,2249
3,filler,unrelated,long,2273
3,filler,unrelated,long,2470
3,filler,unrelated,long,2694
3,filler,unrelated,long,2696
3,filler,unrelated,long,2793
3,filler,unrelated,long,5904
3,filler,unrelated,long,12846
3,filler,unrelated,short,1617
3,filler,unrelated,short,1641
3,filler,unrelated,short,1735
3,filler,unrelated,short,1740
3,filler,unrelated,short,1980
3,filler,unrelated,short,2085
3,filler,unrelated,short,2241
3,filler,unrelated,short,2709
3,filler,unrelated,short,3128
3,filler,unrelated,short,3868
3,filler,unrelated,short,
3,filler,unrelated,short,
3,filler,unrelated,short,6217
3,filler,unrelated,short,6661
3,filler,unrelated,short,7825
3,subordinate,related,long,2006
3,subordinate,related,long,2075
3,subordinate,related,long,2191
3,subordinate,related,long,2310
3,subordinate,related,long,
3,subordinate,related,long,2742
3,subordinate,related,long,3278
3,subordinate,related,long,4640
3,subordinate,related,long,
3,subordinate,related,short,1172
3,subordinate,related,short,1217
3,subordinate,related,short,1508
3,subordinate,related,short,1519
3,subordinate,related,short,
3,subordinate,related,short,1581
3,subordinate,related,short,1788
3,subordinate,related,short,2307
3,subordinate,related,short,
3,subordinate,unrelated,long,1343
3,subordinate,unrelated,long,1430
3,subordinate,unrelated,long,2000
3,subordinate,unrelated,long,2401
3,subordinate,unrelated,long,2540
3,subordinate,unrelated,long,2751
3,subordinate,unrelated,long,2864
3,subordinate,unrelated,long,2969
3,subordinate,unrelated,long,3392
3,subordinate,unrelated,short,1001
3,subordinate,unrelated,short,1371
3,subordinate,unrelated,short,1510
3,subordinate,unrelated,short,1556
3,subordinate,unrelated,short,1738
3,subordinate,unrelated,short,2138
3,subordinate,unrelated,short,2428
3,subordinate,unrelated,short,3419
3,subordinate,unrelated,short,15036
4,dominant,related,long,1
4,dominant,related,long,560
4,dominant,related,long,592
4,dominant,related,long,1073
4,dominant,related,long,
4,dominant,related,long,
4,dominant,related,long,
4,dominant,related,long,1664
4,dominant,related,long,
4,dominant,related,short,596
4,dominant,related,short,
4,dominant,related,short,883
4,dominant,related,short,1290
4,dominant,related,short,
4,dominant,related,short,1452
4,dominant,related,short,
4,dominant,related,short,
4,dominant,related,short,5094
4,dominant,unrelated,long,
4,dominant,unrelated,long,
4,dominant,unrelated,long,
4,dominant,unrelated,long,
4,dominant,unrelated,long,1398
4,dominant,unrelated,long,1399
4,dominant,unrelated,long,1424
4,dominant,unrelated,long,
4,dominant,unrelated,long,5056
